pop,clouds_mid,clouds_hi,clouds,weather_category_clear,weather_category_clouds,wind_cos,app_temp,lat,temp,pres,rh,city_Tāl,lon,wind_sin,vis,wind_dir,weather_category_rain,slp,ozone,hour_sin,wind_spd,hour_cos,month_sin,rainfall
-0.2765020998158033,-0.518371991011895,0,1.7599123583748468,0.0,1.0,-0.7071067811865477,0.2959849923932684,-2.1038067825814184,-0.33145326490094984,1.3125003421058863,1.852337478267512,0.0,-1.456083127867498,-0.7071067811865475,0.1467212631904173,0.3875077506842359,0.0,0.6456400021918043,-0.2936945604303704,-1.0,1.0680076732411676,-0.0,-1.0,0
1.7972636488027214,-0.518371991011895,0,1.71694545667501,0.0,1.0,-0.3826834323650895,0.2784302109997801,-2.1038067825814184,-0.3769542850867316,1.2796410547065942,2.0173632135967683,0.0,-1.456083127867498,-0.9238795325112868,0.1467212631904173,0.4790788129997723,0.0,0.47582576947855126,-0.8786232668909065,-0.707107,0.47887982710433885,0.707107,-0.707107,0
1.7972636488027214,-0.518371991011895,0,1.8888130634743576,0.0,1.0,-0.7071067811865477,0.21406267922365566,-2.1038067825814184,-0.4224553052725134,1.2796410547065942,2.1273803704829395,0.0,-1.456083127867498,-0.7071067811865475,0.1467212631904173,0.42184689905256206,0.0,0.47582576947855126,-0.4608170479905236,0.0,0.47887982710433885,1.0,0.0,1
-0.2765020998158033,-0.518371991011895,0,1.8888130634743576,0.0,1.0,-0.3826834323650895,0.3662041179672233,-2.1038067825814184,-0.31845297341929796,1.3453596295051782,1.9073460567105973,0.0,-1.456083127867498,-0.9238795325112868,0.1467212631904173,0.4332932818420041,0.0,0.7022447464295554,-0.4106803017224757,0.707107,0.17150877694599367,0.707107,0.707107,0
-0.2765020998158033,-0.518371991011895,0,1.9317799651741945,0.0,1.0,-0.7071067811865477,0.6646354016565289,-2.1038067825814184,5.416788117442413e-05,1.3289299858055321,1.1922345369504856,0.0,-1.456083127867498,-0.7071067811865475,0.1467212631904173,0.42184689905256206,0.0,0.6456400021918043,-0.79506202311083,1.0,0.760636623082822,0.0,1.0,0
-0.2765020998158033,-0.518371991011895,0,1.71694545667501,0.0,1.0,-0.7071067811865477,0.9221055287610288,-2.1038067825814184,0.17555810288347537,1.2796410547065942,0.9722002231781436,0.0,-1.456083127867498,-0.7071067811865475,0.1467212631904173,0.35316860231590974,0.0,0.47582576947855126,-1.0791702519630884,0.707107,1.3497644692196507,-0.707107,0.707107,0
-0.2765020998158033,-0.518371991011895,0,1.5021109481758255,0.0,1.0,-0.7071067811865477,0.7875188714109496,-2.1038067825814184,0.013054459362825883,1.2632114110069483,1.3022516938366566,0.0,-1.456083127867498,-0.7071067811865475,0.1467212631904173,0.35316860231590974,0.0,0.41922102524080024,-1.329853983303318,0.0,1.6571355193779957,-1.0,0.0,0
1.7972636488027214,-0.518371991011895,0,1.8028792600746837,0.0,1.0,-0.7071067811865477,0.4188684621476891,-2.1038067825814184,-0.2729519532335162,1.2960706984062402,1.7973288998244263,0.0,-1.456083127867498,-0.7071067811865475,0.1467212631904173,0.37606136789479383,0.0,0.5324305137163022,-1.7977969484717489,-0.707107,0.760636623082822,-0.707107,-0.707107,0
-0.2765020998158033,-0.518371991011895,0,1.6739785549751731,0.0,1.0,-0.7071067811865477,0.372055711765053,-2.1038067825814184,-0.33145326490094984,1.3289299858055321,1.962354635153683,0.0,-1.456083127867498,-0.7071067811865475,0.1467212631904173,0.3875077506842359,0.0,0.6456400021918043,-1.0457457544510598,-1.0,0.760636623082822,-0.0,-1.0,0
1.7972636488027214,-0.518371991011895,0,1.5880447515754994,0.0,1.0,-0.3826834323650895,0.2784302109997801,-2.1038067825814184,-0.3899545765683835,1.2960706984062402,2.072371792039854,0.0,-1.456083127867498,-0.9238795325112868,0.1467212631904173,0.5248643441575405,0.0,0.5324305137163022,-1.4635519733514426,-0.707107,0.17150877694599367,0.707107,-0.707107,1
